event_id,event_order,dimension_event_order,ts_utc,transition_dimension,previous_state,current_state,transition_label,transition_category,transition_direction,is_stress_transition,taxonomy_version
trend:0016,101,16,2025-10-13T04:00:00Z,trend,sideways,uptrend,trend:sideways->uptrend,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0063,102,63,2025-10-13T04:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
stress:0008,103,8,2025-10-14T04:00:00Z,stress,normal_stress,dispersion_stress,stress:normal_stress->dispersion_stress,stress_onset,enter,True,regime_taxonomy_v1
drawdown_recovery:0064,104,64,2025-10-15T04:00:00Z,drawdown_recovery,recovery,near_peak,drawdown_recovery:recovery->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0065,105,65,2025-10-16T04:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0066,106,66,2025-10-17T04:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
drawdown_recovery:0067,107,67,2025-10-20T04:00:00Z,drawdown_recovery,recovery,near_peak,drawdown_recovery:recovery->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
volatility:0017,108,17,2025-10-22T04:00:00Z,volatility,normal_volatility,high_volatility,volatility:normal_volatility->high_volatility,volatility_upshift,up,False,regime_taxonomy_v1
drawdown_recovery:0068,109,68,2025-10-22T04:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0069,110,69,2025-10-23T04:00:00Z,drawdown_recovery,underwater,near_peak,drawdown_recovery:underwater->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0070,111,70,2025-11-04T05:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0071,112,71,2025-11-05T05:00:00Z,drawdown_recovery,underwater,near_peak,drawdown_recovery:underwater->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
trend:0017,113,17,2025-11-06T05:00:00Z,trend,uptrend,sideways,trend:uptrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0072,114,72,2025-11-06T05:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
volatility:0018,115,18,2025-11-07T05:00:00Z,volatility,high_volatility,normal_volatility,volatility:high_volatility->normal_volatility,volatility_downshift,down,False,regime_taxonomy_v1
trend:0018,116,18,2025-11-07T05:00:00Z,trend,sideways,uptrend,trend:sideways->uptrend,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0073,117,73,2025-11-10T05:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
stress:0009,118,9,2025-11-10T05:00:00Z,stress,dispersion_stress,normal_stress,stress:dispersion_stress->normal_stress,stress_relief,exit,True,regime_taxonomy_v1
drawdown_recovery:0074,119,74,2025-11-12T05:00:00Z,drawdown_recovery,recovery,near_peak,drawdown_recovery:recovery->near_peak,generic_transition,state_change,False,regime_taxonomy_v1
drawdown_recovery:0075,120,75,2025-11-13T05:00:00Z,drawdown_recovery,near_peak,underwater,drawdown_recovery:near_peak->underwater,generic_transition,state_change,False,regime_taxonomy_v1
trend:0019,121,19,2025-11-17T05:00:00Z,trend,uptrend,sideways,trend:uptrend->sideways,generic_transition,state_change,False,regime_taxonomy_v1
trend:0020,122,20,2025-11-20T05:00:00Z,trend,sideways,downtrend,trend:sideways->downtrend,trend_breakdown,state_change,False,regime_taxonomy_v1
stress:0010,123,10,2025-11-20T05:00:00Z,stress,normal_stress,dispersion_stress,stress:normal_stress->dispersion_stress,stress_onset,enter,True,regime_taxonomy_v1
drawdown_recovery:0076,124,76,2025-11-21T05:00:00Z,drawdown_recovery,underwater,recovery,drawdown_recovery:underwater->recovery,recovery_onset,enter,False,regime_taxonomy_v1
stress:0011,125,11,2025-11-21T05:00:00Z,stress,dispersion_stress,normal_stress,stress:dispersion_stress->normal_stress,stress_relief,exit,True,regime_taxonomy_v1
stress:0012,126,12,2025-11-24T05:00:00Z,stress,normal_stress,dispersion_stress,stress:normal_stress->dispersion_stress,stress_onset,enter,True,regime_taxonomy_v1
